entity_key,group_name,entity_name,entity_type,inn,ogrn,kpp_list,official_name,short_name,brand_aliases,search_terms,eis_search_term,roseltorg_customer_query,is_priority_focus,identity_source,identity_confidence,notes,aliases
sberbank_service,Sber Group,ООО Сбербанк-Сервис,service,7736663049,1137746703709,771501001;773601001;775050001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-СЕРВИС""",Сбербанк-Сервис,Сбербанк-Сервис;Сбербанк Сервис,Сбербанк-Сервис;Сбербанк Сервис,Сбербанк-Сервис,СБЕРБАНК-СЕРВИС,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО \""СБЕРБАНК-СЕРВИС\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕРБАНК-СЕРВИС\"""", ""ООО Сбербанк-Сервис""]"
sber_npf,Sber Group,АО НПФ Сбербанка,pension,7725352740,1147799009160,772501001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД СБЕРБАНКА""",НПФ Сбербанка,НПФ Сбербанка;СберНПФ,НПФ Сбербанка;СберНПФ,НПФ Сбербанка,НПФ СБЕРБАНКА,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ЗАО \""НПФ СБЕРБАНКА\"""", ""АКЦИОНЕРНОЕ ОБЩЕСТВО \""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД СБЕРБАНКА\"""", ""АО \""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД СБЕРБАНКА\"""", ""АО НПФ Сбербанка""]"
domclick,Sber Group,ООО Домклик,real_estate,7736249247,1157746652150,773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМКЛИК""",Домклик,Домклик,Домклик,Домклик,ДОМКЛИК,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО \""ЦНС\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ДОМКЛИК\"""", ""ООО \""ДОМКЛИК\"""", ""ООО Домклик""]"
sberhealth_innovative_medicine,Sber Group,ООО Инновационная медицина (СберЗдоровье),healthtech,9706000111,1077764548773,770601001;771901001;772501001;773501001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОВАЦИОННАЯ МЕДИЦИНА""",Инновационная медицина,"СберЗдоровье;Инновационная медицина;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ, РАДИОЭЛЕКТРОНИКА - МЕДИЦИНА""",Инновационная медицина;СберЗдоровье,Инновационная медицина,ИННОВАЦИОННАЯ МЕДИЦИНА,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО \""ИННОВАЦИОННАЯ МЕДИЦИНА\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ИННОВАЦИОННАЯ МЕДИЦИНА\"""", ""ООО Инновационная медицина (СберЗдоровье)""]"
sberhealth_docdoc,Sber Group,ООО ДокДок (СберЗдоровье),healthtech,9710011437,,771001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОКДОК""",ДокДок,ДокДок;DocDoc;СберЗдоровье,ДокДок;DocDoc;СберЗдоровье,ДокДок,ДОКДОК,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО \""ДОКДОК\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ДОКДОК\"""", ""ООО ДокДок (СберЗдоровье)""]"
sberhealth_docdoc_tz,Sber Group,ООО ДокДок ТЗ (СберЗдоровье),healthtech,9710049920,,771001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОКДОК ТЕРРИТОРИЯ ЗДОРОВЬЯ""",ДокДок Территория Здоровья,ДокДок ТЗ;ДокДок Территория Здоровья;СберЗдоровье,ДокДок ТЗ;ДокДок Территория Здоровья;СберЗдоровье,ДокДок Территория Здоровья,ДОКДОК ТЕРРИТОРИЯ ЗДОРОВЬЯ,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""Общество с Ограниченной Ответственностью «ДокДок Территория Здоровья»"", ""ООО \""ДОКДОК ТЗ\"""", ""ООО \""ДОКДОК ТЕРРИТОРИЯ ЗДОРОВЬЯ\"""", ""ООО ДокДок ТЗ (СберЗдоровье)""]"
sberlogistics,Sber Group,ООО СберЛогистика,logistics,7736322345,,772801001;773601001;775101001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРЛОГИСТИКА""",СберЛогистика,СберЛогистика;Сбер Логистика,СберЛогистика;Сбер Логистика,СберЛогистика,СБЕРЛОГИСТИКА,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО \""СБЕРЛОГИСТИКА\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕРЛОГИСТИКА\"""", ""ООО СберЛогистика""]"
sbertech,Sber Group,АО Сбербанк-Технологии (СберТех),it,7736632467,1117746533926,772601001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""",Сбербанк-Технологии,СберТех;Сбербанк-Технологии;Сбербанк Технологии,Сбербанк-Технологии;Сбербанк Технологии;СберТех,Сбербанк-Технологии,СБЕРБАНК-ТЕХНОЛОГИИ,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""АО \""СБЕРТЕХ\"""", ""АКЦИОНЕРНОЕ ОБЩЕСТВО \""СБЕРБАНК - ТЕХНОЛОГИИ\"""", ""АО \""СБЕРБАНК - ТЕХНОЛОГИИ\"""", ""АО Сбербанк-Технологии (СберТех)""]"
uk_first,Sber Group,АО Управляющая компания Первая,asset_management,7710183778,,770301001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ПЕРВАЯ""",Управляющая компания Первая,Сбербанк Управление Активами;УК Первая;Первая,Сбербанк Управление Активами;Управляющая компания Первая;УК Первая;Первая,Сбербанк Управление Активами,УПРАВЛЯЮЩАЯ КОМПАНИЯ ПЕРВАЯ,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""АКЦИОНЕРНОЕ ОБЩЕСТВО \""УПРАВЛЯЮЩАЯ КОМПАНИЯ ПЕРВАЯ\"""", ""АО \""УПРАВЛЯЮЩАЯ КОМПАНИЯ ПЕРВАЯ\"""", ""АО Управляющая компания Первая""]"
sbereducation,Sber Group,ООО СберОбразование,edtech,7730262964,,773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРОБРАЗОВАНИЕ""",СберОбразование,СберОбразование;Сбер Образование,СберОбразование;Сбер Образование,СберОбразование,СБЕРОБРАЗОВАНИЕ,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО \""СБЕРОБРАЗОВАНИЕ\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕРОБРАЗОВАНИЕ\"""", ""ООО СберОбразование""]"
sberauto,Sber Group,ООО СберАвто,auto,9709054813,,771401001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРАВТО""",СберАвто,СберАвто;Сбер Авто,СберАвто;Сбер Авто,СберАвто,СБЕРАВТО,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""Общество с ограниченной ответственностью «СберАвто»"", ""ООО \""СБЕРАВТО\"""", ""ООО СберАвто""]"
eapteka,Sber Group,ООО ЕАПТЕКА,pharma,7704865540,,770401001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАПТЕКА""",ЕАПТЕКА,ЕАПТЕКА;Еаптека;Сбер Еаптека,ЕАПТЕКА;Еаптека;Сбер Еаптека,ЕАПТЕКА,ЕАПТЕКА,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО еАптека"", ""ООО \""ЕАПТЕКА\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ЕАПТЕКА\""""]"
kuper_instamart_service,Sber Group,ООО Инстамарт Сервис (Купер),ecommerce,9705118142,,770501001;770601001;775101001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТАМАРТ СЕРВИС""",Инстамарт Сервис,Купер;Инстамарт;Instamart;Инстамарт Сервис,Инстамарт Сервис;Купер;Instamart,Инстамарт Сервис,ИНСТАМАРТ СЕРВИС,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО \""ИНСТАМАРТ СЕРВИС\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ИНСТАМАРТ СЕРВИС\"""", ""ООО Инстамарт Сервис (Купер)""]"
kuper_instamart_technologies,Sber Group,ООО Инстамарт Технолоджис (Купер),ecommerce,9705118150,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТАМАРТ ТЕХНОЛОДЖИС""",Инстамарт Технолоджис,Купер;Инстамарт;Instamart;Инстамарт Технолоджис,Инстамарт Технолоджис;Купер;Instamart,Инстамарт Технолоджис,ИНСТАМАРТ ТЕХНОЛОДЖИС,0,scope_audit,inn_verified,КПП и ОГРН не заполнены без локального подтверждения,"[""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ИНСТАМАРТ ТЕХНОЛОДЖИС\"""", ""ООО \""ИНСТАМАРТ ТЕХНОЛОДЖИС\"""", ""ООО Инстамарт Технолоджис (Купер)""]"
cloud_ru,Sber Group,ООО Облачные технологии (Cloud.ru),cloud,7736279160,,770301001;773601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЛАЧНЫЕ ТЕХНОЛОГИИ""",Облачные технологии,Cloud.ru;Cloud;Облачные технологии,Облачные технологии;Cloud.ru;Cloud,Облачные технологии,ОБЛАЧНЫЕ ТЕХНОЛОГИИ,0,ast_audit,inn_kpp_verified,ОГРН не заполнен без локального подтверждения,"[""ООО \""ОБЛАЧНЫЕ ТЕХНОЛОГИИ\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ОБЛАЧНЫЕ ТЕХНОЛОГИИ\"""", ""ООО Облачные технологии (Cloud.ru)""]"
sberkorus,Sber Group,ООО СберКорус,edi,7801392271,1057812752502,780201001;781601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРКОРУС""",СберКорус,СберКорус;Сбер Корус,СберКорус;Сбер Корус,СберКорус,СБЕРКОРУС,0,eis_exact;ast_audit,verified,ОГРН из EIS; КПП из EIS/AST audit,"[""ООО \""СБЕРКОРУС\"""", ""ООО \""КОРУС Консалтинг СНГ\"""", ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕРКОРУС\"""", ""ООО СберКорус""]"
megamarket,Sber Group,ООО Маркетплейс (Мегамаркет),ecommerce,9701048328,1167746803180,770101001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРКЕТПЛЕЙС""",Мегамаркет,СберМегаМаркет;Мегамаркет;Goods.ru,Мегамаркет;СберМегаМаркет;МАРКЕТПЛЕЙС,МАРКЕТПЛЕЙС,МАРКЕТПЛЕЙС,0,ast_audit,verified,Добавлено скриптом,"[""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""МАРКЕТПЛЕЙС\"""", ""ООО \""МАРКЕТПЛЕЙС\"""", ""ООО Маркетплейс (Мегамаркет)""]"
samokat,Sber Group,ООО Умный ритейл (Самокат),ecommerce,7811657720,1177847261602,781101001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМНЫЙ РИТЕЙЛ""",Самокат,Самокат;Умный ритейл,Самокат;Умный ритейл,УМНЫЙ РИТЕЙЛ,УМНЫЙ РИТЕЙЛ,0,ast_audit,verified,Добавлено скриптом,"[""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""УМНЫЙ РИТЕЙЛ\"""", ""ООО \""УМНЫЙ РИТЕЙЛ\"""", ""ООО Умный ритейл (Самокат)""]"
sberdevices,Sber Group,ООО СалютДевайсы (SberDevices),hardware,7730253720,1197746592394,773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛЮТДЕВАЙСЫ""",SberDevices,SberDevices;СберДевайсы;СалютДевайсы,SberDevices;СберДевайсы;СалютДевайсы,САЛЮТДЕВАЙСЫ,САЛЮТДЕВАЙСЫ,0,ast_audit,verified,Добавлено скриптом,"[""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""САЛЮТДЕВАЙСЫ\"""", ""ООО \""САЛЮТДЕВАЙСЫ\"""", ""ООО СалютДевайсы (SberDevices)""]"
sbermarketing,Sber Group,ООО С-Маркетинг (СберМаркетинг),marketing,7736319695,5187746006157,773601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""С-МАРКЕТИНГ""",СберМаркетинг,СберМаркетинг;С-Маркетинг,СберМаркетинг;С-Маркетинг,С-МАРКЕТИНГ,С-МАРКЕТИНГ,0,ast_audit,verified,Добавлено скриптом,"[""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""С-МАРКЕТИНГ\"""", ""ООО \""С-МАРКЕТИНГ\"""", ""ООО С-Маркетинг (СберМаркетинг)""]"
sbersolutions,Sber Group,ООО Сбер Решения,outsourcing,9731053950,1197746623469,772501001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕР РЕШЕНИЯ""",Сбер Решения,Сбер Решения;СберРешения,Сбер Решения;СберРешения,СБЕР РЕШЕНИЯ,СБЕР РЕШЕНИЯ,0,ast_audit,verified,Добавлено скриптом,"[""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""СБЕР РЕШЕНИЯ\"""", ""ООО \""СБЕР РЕШЕНИЯ\"""", ""ООО Сбер Решения""]"
2gis,Sber Group,ООО ДубльГИС (2ГИС),it,5405276278,1045401929847,540401001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУБЛЬГИС""",2ГИС,2ГИС;2GIS;ДубльГИС,2ГИС;2GIS;ДубльГИС,ДУБЛЬГИС,ДУБЛЬГИС,0,ast_audit,verified,Добавлено скриптом,"[""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ДУБЛЬГИС\"""", ""ООО \""ДУБЛЬГИС\"""", ""ООО ДубльГИС (2ГИС)""]"
